tensor([-1.2872, -0.3137]) 	 tensor([2.7038])
tensor([-0.0095,  1.4809]) 	 tensor([-0.8564])
tensor([0.5248, 0.4828]) 	 tensor([3.5982])
tensor([1.1850, 0.9396]) 	 tensor([3.3588])
tensor([-2.0831, -0.4564]) 	 tensor([1.5745])
tensor([-0.6621, -0.6253]) 	 tensor([5.0243])
tensor([-1.4168, -0.0752]) 	 tensor([1.5961])
tensor([-0.1710,  0.6510]) 	 tensor([1.6399])
tensor([-0.7075, -0.6595]) 	 tensor([5.0242])
tensor([-1.0259,  0.2953]) 	 tensor([1.1420])
tensor([-1.1281, -1.8598]) 	 tensor([8.2595])
tensor([0.4307, 0.7150]) 	 tensor([2.6192])
tensor([ 0.7583, -0.2592]) 	 tensor([6.6159])
tensor([ 0.4047, -1.7439]) 	 tensor([10.9379])
tensor([-1.3626,  0.4709]) 	 tensor([-0.1342])
tensor([ 0.4570, -0.0999]) 	 tensor([5.4523])
tensor([-0.8083,  0.4151]) 	 tensor([1.1594])
tensor([ 0.0293, -0.4788]) 	 tensor([5.8794])
tensor([-0.3643,  0.7627]) 	 tensor([0.8735])
tensor([ 0.8689, -0.4629]) 	 tensor([7.5092])
tensor([-1.2838, -0.4785]) 	 tensor([3.2425])
tensor([0.5218, 1.7292]) 	 tensor([-0.6402])
tensor([-0.8108,  0.9154]) 	 tensor([-0.5295])
tensor([2.0950, 1.5306]) 	 tensor([3.1784])
tensor([-0.4716,  0.4412]) 	 tensor([1.7414])
tensor([1.7848, 0.2807]) 	 tensor([6.8159])
tensor([ 1.1307, -0.0667]) 	 tensor([6.6980])
tensor([-0.7294,  1.1734]) 	 tensor([-1.2528])
tensor([-0.9806, -0.0019]) 	 tensor([2.2454])
tensor([ 0.4882, -1.6122]) 	 tensor([10.6493])
tensor([ 0.2632, -0.7549]) 	 tensor([7.3082])
tensor([-0.2322, -1.6986]) 	 tensor([9.5034])
tensor([ 0.8582, -0.4554]) 	 tensor([7.4613])
tensor([-0.5069,  0.6537]) 	 tensor([0.9742])
tensor([1.6491, 1.1506]) 	 tensor([3.5913])
tensor([ 1.5451, -0.9337]) 	 tensor([10.4560])
tensor([0.5719, 1.4832]) 	 tensor([0.3001])
tensor([ 0.0804, -0.5250]) 	 tensor([6.1615])
tensor([-0.2774, -0.2573]) 	 tensor([4.5201])
tensor([ 1.0850, -0.9887]) 	 tensor([9.7274])
tensor([1.9139, 1.1995]) 	 tensor([3.9451])
tensor([-0.0520,  1.0705]) 	 tensor([0.4597])
tensor([ 0.2843, -1.4607]) 	 tensor([9.7302])
tensor([1.2693, 1.0713]) 	 tensor([3.0863])
tensor([ 0.6585, -0.8016]) 	 tensor([8.2311])
tensor([ 0.0253, -1.4176]) 	 tensor([9.0590])
tensor([0.5343, 0.2420]) 	 tensor([4.4382])
tensor([-1.1953, -1.0190]) 	 tensor([5.2758])
tensor([-1.0748,  1.6055]) 	 tensor([-3.4131])
tensor([ 0.4358, -0.6445]) 	 tensor([7.2562])
tensor([-0.8956, -0.4836]) 	 tensor([4.0758])
tensor([-0.4701, -0.1746]) 	 tensor([3.8570])
tensor([1.3307, 1.5391]) 	 tensor([1.6339])
tensor([-2.1149, -1.8311]) 	 tensor([6.1861])
tensor([-0.3784, -0.9444]) 	 tensor([6.6599])
tensor([-1.6633, -1.1445]) 	 tensor([4.7651])
tensor([-0.1912, -1.1957]) 	 tensor([7.8829])
tensor([-0.6624, -1.6479]) 	 tensor([8.4529])
tensor([-0.6138, -1.8167]) 	 tensor([9.1397])
tensor([-0.4769,  0.4291]) 	 tensor([1.7854])
tensor([-0.2613, -0.5254]) 	 tensor([5.4659])
tensor([ 1.6422, -0.8403]) 	 tensor([10.3589])
tensor([1.5583, 0.7677]) 	 tensor([4.6901])
tensor([-1.5759,  0.6375]) 	 tensor([-1.1096])
tensor([-0.3497,  0.5651]) 	 tensor([1.5871])
tensor([-1.3264, -0.2355]) 	 tensor([2.3454])
tensor([-1.1970, -0.1291]) 	 tensor([2.2401])
tensor([1.4155, 0.7307]) 	 tensor([4.5484])
tensor([0.6819, 0.8803]) 	 tensor([2.5776])
tensor([0.0255, 1.0154]) 	 tensor([0.7870])
tensor([-0.3218,  0.0045]) 	 tensor([3.5290])
tensor([0.0283, 0.3354]) 	 tensor([3.1164])
tensor([-0.6784, -1.1413]) 	 tensor([6.7186])
tensor([-0.4300,  1.2988]) 	 tensor([-1.0756])
tensor([-0.9091,  0.3382]) 	 tensor([1.2273])
tensor([ 0.1947, -0.9426]) 	 tensor([7.7835])
tensor([ 0.2833, -0.2273]) 	 tensor([5.5456])
tensor([-0.9736,  0.0153]) 	 tensor([2.1913])
tensor([ 0.9956, -0.3128]) 	 tensor([7.2608])
tensor([ 0.2868, -1.9759]) 	 tensor([11.4938])
tensor([ 1.3029, -0.4525]) 	 tensor([8.3581])
tensor([ 1.3518, -0.3287]) 	 tensor([8.0341])
tensor([-0.5978,  0.5335]) 	 tensor([1.1852])
tensor([ 0.0207, -0.4161]) 	 tensor([5.6708])
tensor([-1.2636, -0.1377]) 	 tensor([2.1622])
tensor([0.9669, 0.4282]) 	 tensor([4.6848])
tensor([-0.4834, -0.4241]) 	 tensor([4.6617])
tensor([-1.2333,  1.2968]) 	 tensor([-2.6690])
tensor([-1.0298,  0.4198]) 	 tensor([0.7158])
tensor([0.0136, 1.1383]) 	 tensor([0.3372])
tensor([0.0803, 0.5182]) 	 tensor([2.6036])
tensor([1.3955, 2.1889]) 	 tensor([-0.4531])
tensor([0.0677, 1.9843]) 	 tensor([-2.3966])
tensor([-0.2920,  0.9874]) 	 tensor([0.2633])
tensor([-0.2722,  0.9713]) 	 tensor([0.3454])
tensor([-0.5421,  0.3933]) 	 tensor([1.7857])
tensor([-0.3336,  0.0858]) 	 tensor([3.2382])
tensor([-0.8384, -0.0749]) 	 tensor([2.7766])
tensor([ 1.7097, -1.0546]) 	 tensor([11.1969])
tensor([1.4910, 0.6969]) 	 tensor([4.8363])
tensor([1.1565, 0.1193]) 	 tensor([6.1121])
tensor([-0.3171, -0.0777]) 	 tensor([3.8382])
tensor([ 0.2030, -0.9798]) 	 tensor([7.9453])
tensor([0.5563, 4.0787]) 	 tensor([-8.5712])
tensor([-0.9626,  0.5854]) 	 tensor([0.2740])
tensor([0.5871, 1.1343]) 	 tensor([1.5338])
tensor([-0.4574, -0.1060]) 	 tensor([3.6329])
tensor([-1.2620,  1.0047]) 	 tensor([-1.7412])
tensor([0.0077, 0.1015]) 	 tensor([3.8703])
tensor([-1.9982, -0.4169]) 	 tensor([1.6179])
tensor([-0.4501, -1.0879]) 	 tensor([6.9997])
tensor([-0.2093,  1.0573]) 	 tensor([0.1930])
tensor([-0.1140, -0.4695]) 	 tensor([5.5771])
tensor([0.5952, 0.6060]) 	 tensor([3.3431])
tensor([0.1588, 0.1593]) 	 tensor([3.9639])
tensor([-1.2421,  0.1512]) 	 tensor([1.1929])
tensor([-2.1918, -0.3814]) 	 tensor([1.1148])
tensor([-0.9949, -0.1063]) 	 tensor([2.5640])
tensor([-0.3701, -2.4152]) 	 tensor([11.6639])
tensor([-1.2364, -1.2924]) 	 tensor([6.1314])
tensor([-1.7679, -0.1705]) 	 tensor([1.2513])
tensor([-2.7467,  0.5340]) 	 tensor([-3.1099])
tensor([ 0.1813, -0.6941]) 	 tensor([6.9265])
tensor([-0.6841,  1.7642]) 	 tensor([-3.1790])
tensor([-0.7341,  0.2680]) 	 tensor([1.8246])
tensor([-0.1709, -1.0555]) 	 tensor([7.4362])
tensor([0.4071, 0.8286]) 	 tensor([2.2101])
tensor([2.6278, 0.3824]) 	 tensor([8.1598])
tensor([0.5965, 1.1460]) 	 tensor([1.4821])
tensor([2.1957, 0.0393]) 	 tensor([8.4632])
tensor([-0.7579,  0.6191]) 	 tensor([0.5736])
tensor([-0.2757, -0.6777]) 	 tensor([5.9426])
tensor([ 1.3940, -1.5796]) 	 tensor([12.3706])
tensor([0.8077, 0.0985]) 	 tensor([5.4707])
tensor([-1.0553, -1.0321]) 	 tensor([5.5982])
tensor([-0.6192,  1.1383]) 	 tensor([-0.9061])
tensor([0.1556, 0.0505]) 	 tensor([4.3176])
tensor([-0.7366,  0.3046]) 	 tensor([1.6905])
tensor([-0.8577,  0.0626]) 	 tensor([2.2704])
